Institution,Rating Rank After NSU 2026,Rating Rank After NDUB 2026,Rating Rank After BUET 2026,Rating Rank After ICPC 2025,Rating Rank After CUET 2025,Rating Rank After MU 2025,Rating Rank After UU 2025,Rating Rank After DUET 2025,Rating Rank After AUST 2025,Rating Rank After UIU 2025,Rating Rank After KUET 2025,Rating Rank After ICPC 2024,Rating Rank After BUET 2024,Rating Rank After IUT 2024,Rating Rank After NCPC 2024,Rating Rank After SUST 2024,Rating Rank After CUET 2024
BANGLADESH UNIVERSITY OF ENGINEERING AND TECHNOLOGY,1,1,1,1,1,1,1,3,3,3,3,3,4,2,2,2,3
SHAHJALAL UNIVERSITY OF SCIENCE & TECHNOLOGY,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
UNIVERSITY OF DHAKA,3,3,3,3,6,4,3,2,2,2,2,2,2,4,4,6,13
RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY,4,4,4,4,4,5,6,5,5,5,5,4,8,11,12,18,10
ISLAMIC UNIVERSITY OF TECHNOLOGY,5,5,5,5,3,6,5,6,6,7,7,6,7,5,5,4,6
BRAC UNIVERSITY,6,6,6,6,5,3,4,4,4,4,4,5,5,3,3,3,2
JAHANGIRNAGAR UNIVERSITY,7,10,7,7,8,7,8,7,7,9,9,9,6,7,8,12,15
KHULNA UNIVERSITY,8,9,26,27,23,16,17,15,13,12,12,11,14,16,29,,
NORTH SOUTH UNIVERSITY,9,11,13,13,9,13,14,17,18,19,22,22,17,18,15,15,14
COMILLA UNIVERSITY,10,8,9,8,11,14,11,8,9,8,6,7,12,10,16,16,22
UNIVERSITY OF RAJSHAHI,11,15,18,16,12,15,12,13,16,16,15,15,13,9,7,5,4
CHITTAGONG UNIVERSITY OF ENGINEERING AND TECHNOLOGY,12,7,11,10,15,12,10,10,12,15,16,18,15,8,11,14,12
DAFFODIL INTERNATIONAL UNIVERSITY,13,14,8,9,7,9,15,11,10,11,11,12,20,28,34,29,34
JASHORE UNIVERSITY OF SCIENCE AND TECHNOLOGY,14,12,15,25,27,25,19,14,17,17,17,17,16,14,14,13,17
KHULNA UNIVERSITY OF ENGINEERING & TECHNOLOGY,15,13,10,11,10,8,7,9,8,6,8,8,3,6,6,7,24
GREEN UNIVERSITY OF BANGLADESH,16,18,17,21,16,28,35,32,28,27,24,25,23,43,41,37,45
LEADING UNIVERSITY,17,17,23,24,20,21,18,24,29,24,25,24,21,27,33,31,23
AHSANULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,18,20,14,15,19,26,21,23,26,25,27,26,19,13,10,9,7
SYLHET ENGINEERING COLLEGE,19,16,20,20,22,22,25,21,20,20,19,19,25,22,20,19,11
AMERICAN INTERNATIONAL UNIVERSITY-BANGLADESH,20,19,12,12,14,18,24,26,24,28,33,33,27,36,28,36,
UNIVERSITY OF CHITTAGONG,21,23,19,17,29,23,23,20,19,21,20,20,41,31,25,28,19
MILITARY INSTITUTE OF SCIENCE & TECHNOLOGY,22,24,24,23,24,24,20,19,22,22,21,21,28,26,23,26,33
MAWLANA BHASHANI SCIENCE & TECHNOLOGY UNIVERSITY,23,21,16,14,13,17,16,16,15,14,14,14,9,12,9,11,8
ISLAMIC UNIVERSITY,24,22,31,32,32,29,27,22,21,18,18,16,22,25,24,22,
METROPOLITAN UNIVERSITY,25,26,21,22,28,27,26,33,38,39,45,46,44,34,27,27,20
EAST WEST UNIVERSITY,26,27,25,18,17,11,9,12,14,13,13,13,11,15,13,8,5
INTERNATIONAL ISLAMIC UNIVERSITY CHITTAGONG,27,25,22,19,21,20,30,28,25,26,26,27,24,19,18,17,16
INTERNATIONAL UNIVERSITY OF BUSINESS AGRICULTURE & TECHNOLOGY,28,28,29,28,26,30,29,27,31,31,29,31,29,32,49,44,28
PATUAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,29,30,28,26,18,10,13,18,11,10,10,10,10,17,19,21,21
UNIVERSITY OF BARISAL,30,29,27,29,25,19,22,35,33,32,30,28,30,20,22,20,36
NOAKHALI SCIENCE & TECHNOLOGY UNIVERSITY,31,32,30,30,31,34,34,29,32,33,31,30,35,44,40,35,39
NETROKONA UNIVERSITY,32,33,37,37,35,33,37,38,37,34,32,32,58,57,52,45,27
EASTERN UNIVERSITY,33,31,44,44,109,109,109,109,107,106,105,104,,,,,
HAJEE MOHAMMAD DANESH SCIENCE AND TECHNOLOGY UNIVERSITY,34,34,32,31,38,36,36,30,34,43,40,39,32,39,31,53,
DHAKA UNIVERSITY OF ENGINEERING & TECHNOLOGY,35,35,34,34,33,31,31,31,27,30,28,29,36,45,39,33,
EAST DELTA UNIVERSITY,36,36,35,35,30,32,32,34,35,35,35,35,37,40,36,32,26
BANGLADESH UNIVERSITY OF BUSINESS AND TECHNOLOGY,37,37,33,33,36,35,28,25,23,29,34,38,33,29,26,24,35
NATIONAL UNIVERSITY,38,38,36,36,40,39,39,37,36,37,36,36,39,38,37,38,
UNIVERSITY OF ASIA PACIFIC,39,40,45,43,43,44,47,47,44,44,44,42,40,47,43,41,41
JATIYA KABI KAZI NAZRUL ISLAM UNIVERSITY,40,46,49,50,50,48,49,46,54,58,54,53,54,63,63,58,48
UNITED INTERNATIONAL UNIVERSITY,41,39,40,38,37,38,41,39,41,38,39,44,38,30,30,25,25
JAGANNATH UNIVERSITY,42,42,38,41,39,40,38,41,39,36,37,34,26,24,59,,
PABNA UNIVERSITY OF SCIENCE AND TECHNOLOGY,43,43,42,39,34,37,33,52,48,48,46,64,74,73,69,,
DHAKA CITY COLLEGE,44,44,59,60,49,47,45,44,49,50,48,45,47,37,38,52,49
NORTHERN UNIVERSITY OF BUSINESS AND TECHNOLOGY,45,41,39,40,44,41,54,55,74,73,82,79,70,70,,,
INTERNATIONAL ISLAMI UNIVERSITY OF SCIENCE AND TECHNOLOGY BANGLADESH,46,47,69,69,78,81,78,81,69,66,62,61,60,,,,
RANGAMATI SCIENCE AND TECHNOLOGY UNIVERSITY,47,48,41,42,42,56,53,53,51,49,47,47,48,48,45,39,29
CITY UNIVERSITY,48,45,54,52,52,49,89,91,86,87,85,89,,,,,
"UNIVERSITY OF FRONTIER TECHNOLOGY, BANGLADESH",49,50,62,77,61,66,62,65,60,60,101,100,,,,,
PREMIER UNIVERSITY,50,49,43,45,41,50,48,49,58,59,55,50,50,50,47,40,30
NORTHERN UNIVERSITY BANGLADESH,51,96,97,93,83,84,85,85,72,72,70,83,85,84,,,
GOPALGANJ SCIENCE AND TECHNOLOGY UNIVERSITY (GSTU),52,53,46,49,46,43,42,42,46,45,42,43,34,33,32,,
PRIME UNIVERSITY,53,55,58,59,54,52,52,48,50,65,64,62,52,52,57,54,44
SONARGAON UNIVERSITY,54,56,48,46,73,69,69,67,79,79,76,74,80,79,70,,
DHAKA INTERNATIONAL UNIVERSITY,55,52,60,57,56,54,51,50,45,47,73,80,71,71,,,
UNIVERSITY OF INFORMATION TECHNOLOGY & SCIENCES,56,51,61,58,57,57,58,63,61,57,53,51,46,41,35,30,37
KISHOREGANJ UNIVERSITY,57,54,47,47,45,62,61,60,59,55,52,52,51,54,54,49,42
SOUTHEAST UNIVERSITY,58,57,51,48,47,42,40,36,30,23,23,23,18,51,51,61,
VARENDRA UNIVERSITY,59,59,50,54,59,58,56,56,57,61,58,57,56,55,55,46,
UTTARA UNIVERSITY,60,58,53,66,65,75,73,76,66,67,68,68,63,61,,,
BANGLADESH ARMY UNIVERSITY OF SCIENCE AND TECHNOLOGY,61,62,52,51,60,61,59,61,67,69,72,70,64,62,,,
NORTH EAST UNIVERSITY BANGLADESH,62,60,57,56,51,51,57,59,56,53,57,55,59,58,53,47,32
JAMALPUR SCIENCE AND TECHNOLOGY UNIVERSITY,63,91,90,89,,,,,,,,,,,,,
BANGLADESH ARMY UNIVERSITY OF ENGINEERING AND TECHNOLOGY,64,64,75,74,62,64,63,62,62,56,51,49,45,35,67,,
BANGLADESH UNIVERSITY OF PROFESSIONALS,65,65,63,61,55,55,44,45,42,41,61,59,61,59,56,50,50
INSTITUTE OF SCIENCE TRADE & TECHNOLOGY (ISTT),66,67,68,67,91,90,91,89,75,75,71,71,81,80,71,,
BGC TRUST UNIVERSITY BANGLADESH,67,66,65,64,103,103,103,103,101,100,98,96,83,82,73,,
NATIONAL INSTITUTE OF TEXTILE ENGINEERING AND RESEARCH,68,63,64,62,58,53,50,54,93,90,88,85,77,76,65,62,
"BEGUM ROKEYA UNIVERSITY, RANGPUR",69,68,56,55,48,45,43,43,43,42,41,40,43,42,42,51,43
INSTITUTE OF SCIENCE AND TECHNOLOGY,70,61,55,53,53,46,46,40,40,40,38,37,31,23,17,10,9
NOTRE DAME UNIVERSITY BANGLADESH,71,71,100,99,90,86,90,86,80,106,105,104,85,84,,,
PRESIDENCY UNIVERSITY,72,69,70,73,74,71,71,69,107,106,105,104,,,,,
MANARAT INTERNATIONAL UNIVERSITY,73,70,84,118,109,109,109,109,107,106,105,104,,,,,
PORT CITY INTERNATIONAL UNIVERSITY,74,72,67,65,72,60,55,51,47,46,43,41,55,53,50,42,31
BANGLADESH AGRICULTURAL UNIVERSITY,75,76,72,70,71,77,74,75,84,84,83,95,85,84,,,
FENI UNIVERSITY,76,73,66,63,64,59,64,58,52,52,49,48,42,21,21,23,18
"INDEPENDENT UNIVERSITY, BANGLADESH",77,75,73,68,63,63,60,57,53,51,56,54,53,46,44,43,46
BANGAMATA SHEIKH FOJILATUNNESA MUJIB SCIENCE AND TECHNOLOGY UNIVERSITY,78,78,76,72,79,82,79,82,70,68,63,63,57,56,48,48,38
FARIDPUR ENGINEERING COLLEGE,79,77,74,75,77,76,75,74,63,62,60,60,84,83,74,,
CHANDPUR SCIENCE AND TECHNOLOGY UNIVERSITY,80,74,71,71,76,72,76,73,65,70,66,66,62,60,58,59,52
SHANTO MARIAM UNIVERSITY OF CREATIVE TECHNOLOGY,81,80,77,78,75,74,72,70,64,63,65,65,67,67,60,55,40
R. P. SHAHA UNIVERSITY,82,79,80,76,66,65,65,64,55,54,50,56,76,75,62,56,47
CCN UNIVERSITY OF SCIENCE AND TECHNOLOGY,83,81,78,79,67,67,66,66,76,76,87,84,,,,,
DAFFODIL INSTITUTE OF IT (DIIT),84,84,81,81,69,70,68,71,100,99,97,94,82,81,72,,
TEJGAON COLLEGE,85,85,82,82,70,73,70,72,94,93,91,86,79,78,68,,
KHWAJA YUNUS ALI UNIVERSITY,86,86,85,84,81,80,83,84,89,89,89,104,,,,,
MYMENSINGH ENGINEERING COLLEGE,87,83,79,80,68,68,67,68,98,95,94,88,75,74,64,60,
INTERNATIONAL UNIVERSITY OF SCHOLARS,88,82,83,83,101,101,101,101,95,96,95,92,,,,,
WORLD UNIVERSITY OF BANGLADESH,89,88,89,88,109,109,109,109,107,106,105,104,,,,,
SYLHET INTERNATIONAL UNIVERSITY,90,87,88,87,86,89,80,77,68,64,59,58,49,49,46,34,
BANGLADESH UNIVERSITY,91,89,86,85,80,79,82,80,78,91,105,104,85,84,,,
BANGLADESH ARMY INTERNATIONAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,92,90,87,86,84,78,77,78,71,71,67,67,73,65,61,57,51
CANADIAN UNIVERSITY OF BANGLADESH,93,94,94,91,98,97,98,97,90,85,79,77,66,66,,,
EUROPEAN UNIVERSITY OF BANGLADESH,94,92,93,94,109,109,109,109,,,,,,,,,
CHITTAGONG INDEPENDENT UNIVERSITY,95,93,91,90,85,85,84,79,99,94,93,91,78,77,66,63,
"IMPERIAL COLLEGE OF ENGINEERING, KHULNA",96,97,92,92,82,83,81,83,107,106,105,104,,,,,
"NORTH WESTERN UNIVERSITY, KHULNA",97,95,95,96,93,92,93,92,77,78,75,72,,,,,
BANGLADESH UNIVERSITY OF TEXTILES,98,99,98,98,99,100,99,100,92,92,90,87,,,,,
RANGPUR ENGINEERING COLLEGE,99,100,96,95,87,88,86,88,83,82,80,97,,,,,
CHATTOGRAM POLYTECHNIC INSTITUTE,100,98,101,100,100,99,100,99,88,88,86,82,,,,,
UNIVERSITY OF GLOBAL VILLAGE,101,101,99,97,89,91,88,90,85,81,78,76,69,69,,,
RANGPUR POLYTECHNIC INSTITUTE,102,103,104,104,104,104,104,104,102,101,99,98,,,,,
GONO BISHWABIDYALAY (GONO UNIVERSITY),103,102,103,101,88,87,87,87,73,74,69,73,,,,,
ASIAN UNIVERSITY OF BANGLADESH,104,104,102,102,92,94,92,94,97,98,96,93,,,,,
UNIVERSITY OF LIBERAL ARTS BANGLADESH,105,105,105,103,94,95,94,95,82,77,74,69,65,64,,,
"UNIVERSITY OF CREATIVE TECHNOLOGY, CHITTAGONG",106,106,106,105,95,93,95,93,81,80,77,75,,,,,
INTERNATIONAL STANDARD UNIVERSITY,107,107,107,106,96,96,96,96,87,83,81,78,68,68,,,
TMSS ENGINEERING COLLEGE,108,108,108,107,97,98,97,98,91,86,84,81,72,72,,,
FAREAST INTERNATIONAL UNIVERSITY,109,109,109,108,105,105,105,105,103,102,100,99,,,,,
BANGLADESH OPEN UNIVERSITY,110,110,110,109,102,102,102,102,96,97,92,90,,,,,
TEESTA UNIVERSITY,111,111,111,110,109,109,109,109,107,106,105,104,,,,,
RTM AL-KABIR TECHNICAL UNIVERSITY,112,112,112,111,108,108,108,108,106,105,104,103,85,84,,,
Z. H. SIKDER UNIVERSITY OF SCIENCE AND TECHNOLOGY,113,113,113,112,109,109,109,109,107,106,105,104,,,,,
STATE UNIVERSITY OF BANGLADESH,114,114,114,113,106,106,106,106,104,103,102,101,,,,,
THAKURGAON POLYTECHNIC INSTITUTE,115,115,115,114,,,,,,,,,,,,,
"COLLEGE OF BUSINESS SCIENCE AND TECHNOLOGY, MYMENSINGH",116,117,117,116,109,109,109,109,107,106,105,104,,,,,
SOUTHERN UNIVERSITY BANGLADESH,117,116,116,115,107,107,107,107,105,104,103,102,,,,,
HAMDARD UNIVERSITY BANGLADESH,118,118,118,117,109,109,109,109,107,106,105,104,,,,,
ATISH DIPANKAR UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
GERMAN UNIVERSITY BANGLADESH,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
HEADWAY ENGINEERING INSTITUTE | SYLHET,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
BARISAL INFORMATION TECHNOLOGY COLLEGE,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
BRAHMANBARIA POLYTECHNIC INSTITUTE,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
CENTRAL WOMENS UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
"DELTA COMPUTER SCIENCE COLLEGE, RANGPUR",119,119,119,118,,,,,,,,,,,,,
DAFFODIL INTERNATIONAL COLLEGE,119,119,119,118,109,109,109,109,,,,,,,,,
PRIMEASIA UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
PUNDRA UNIVERSITY OF SCIENCE AND TECHNOLOGY,119,119,119,118,109,109,109,109,107,106,105,104,85,84,,,
PABNA ENGINEERING COLLEGE,119,119,119,118,,,,,,,,,,,,,
PIROJPUR SCIENCE AND TECHNOLOGY UNIVERSITY,119,119,119,118,109,109,109,,,,,,,,,,
SUNAMGONJ SCIENCE & TECHNOLOGY UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,,,,,,
STAMFORD UNIVERSITY BANGLADESH,119,119,119,118,,,,,,,,,,,,,
SHEIKH FAZILATUNNESA MUJIB UNIVERSITY,119,119,119,118,109,109,109,109,107,106,105,104,,,,,
UNITED COLLEGE OF AVIATION SCIENCE AND MANAGEMENT,119,119,119,118,109,109,109,109,,,,,,,,,
AHSANIA MISSION UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
AHSANULLAH INSTITUTE OF INFORMATION AND COMMUNICATION TECHNOLOGY,,,,,,,,,,,,,,,,,
BANGLADESH DIGITAL UNIVERSITY,,,,,,,,,,,,,,,,,
BGIFT INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
CUMILLA POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DAFFODIL POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
DHAKA RESIDENTIAL MODEL COLLEGE,,,,,,,,,,,,,,,,,
DR. SEKANDAR ALI COLLEGE,,,,,,,,,,,,,,,,,
"GOVT. SHAHID SUHRAWARDY COLLEGE, DHAKA",,,,,,,,,,,,,,,,,
INSTITUTE OF COMPUTER SCIENCE AND TECHNOLOGY (ICST),,,,,,,,,,,,,,,,,
MODEL INSTITUTE OF SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,
PABNA GOVERNMENT POLYTECHNIC INSTITUTE,,,,,,,,,,,,,,,,,
"RABINDRA MAITREE UNIVERSITY, KUSHTIA",,,,,,,,,,,,,,,,,
SHEIKH BURHANUDDIN POST GRADUATE COLLEGE,,,,,,,,,,,,,,,,,
SIMT ENGINEERING COLLEGE,,,,,,,,,,,,,,,,,
UNIVERSITY OF DEVELOPMENT ALTERNATIVE,,,,,,,,,,,,,,,,,
UNIVERSITY OF SCIENCE & TECHNOLOGY CHITTAGONG,,,,,,,,,,,,,,,,,
